City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
246,harrogate,53.9908,-1.5373,3.97,88,40,3.09,GB,1670283908
247,tutoia,-2.7619,-42.2744,26.54,83,44,7.1,BR,1670284138
248,winneba,5.3511,-0.6231,25.93,89,25,2.36,GH,1670284139
249,baculin,7.4525,126.5842,27.73,76,96,2.59,PH,1670284139
250,kamaishi,39.2667,141.8833,4.7,82,95,1.06,JP,1670284140
251,hervey bay,-25.2986,152.8535,25.39,64,0,3.46,AU,1670284043
252,acapulco,16.8634,-99.8901,26.2,79,0,3.0,MX,1670284140
253,lebu,-37.6167,-73.65,15.37,84,3,1.12,CL,1670284140
254,lalmohan,22.3384,90.7419,18.89,72,8,3.76,BD,1670284141
255,padang,-0.9492,100.3543,24.7,87,100,1.41,ID,1670284141
256,vostok,46.4856,135.8833,-17.6,92,52,2.21,RU,1670284142
257,jos,9.9167,8.9,15.98,23,46,2.34,NG,1670284144
258,innisfail,-17.5333,146.0333,28.88,48,0,2.14,AU,1670284145
259,aras,42.5617,-2.356,4.85,93,100,1.54,ES,1670284145
260,tasiilaq,65.6145,-37.6368,-2.91,62,22,2.17,GL,1670284146
261,ginir,7.1333,40.7,12.94,38,24,2.33,ET,1670284146
262,bratsk,56.1325,101.6142,-12.73,84,100,8.14,RU,1670283968
263,kaa-khem,51.6833,94.7333,-29.64,94,78,0.84,RU,1670284147
264,shingu,33.7333,135.9833,9.39,78,26,2.84,JP,1670284148
265,ust-nera,64.5667,143.2,-42.18,97,98,1.07,RU,1670284149
266,lardos,36.0942,28.0157,15.53,77,0,4.48,GR,1670284150
267,haapiti,-17.5667,-149.8667,29.85,78,15,6.61,PF,1670284152
268,kupang,-10.1667,123.5833,28.32,83,20,1.54,ID,1670284153
269,katobu,-4.9408,122.5276,26.9,83,81,1.57,ID,1670284155
270,tuatapere,-46.1333,167.6833,11.52,65,84,2.81,NZ,1670283960
271,saint george,37.1041,-113.5841,14.97,56,0,2.06,US,1670284156
272,lorengau,-2.0226,147.2712,27.37,80,98,2.02,PG,1670284157
273,cockburn town,21.4612,-71.1419,26.06,61,43,8.8,TC,1670284012
274,banjar,-8.19,114.9675,28.15,72,100,0.24,ID,1670284159
275,mareeba,-17.0,145.4333,28.58,56,2,0.95,AU,1670284162
276,chipoka,-13.9933,34.5157,25.63,65,100,0.55,MW,1670284164
277,royan,45.6285,-1.0281,2.13,82,26,5.03,FR,1670284166
278,asfi,32.2994,-9.2372,17.7,84,39,6.74,MA,1670284166
279,colares,38.7992,-9.4469,14.31,90,41,2.24,PT,1670284167
280,dikson,73.5069,80.5464,-5.07,96,100,5.75,RU,1670284168
281,tabas,33.5959,56.9244,6.12,49,33,1.03,IR,1670283896
282,vila,42.0304,-8.1588,4.49,91,100,1.37,PT,1670284169
283,deputatskiy,69.3,139.9,-33.3,96,100,1.01,RU,1670283979
284,saint-pierre,-21.3393,55.4781,22.82,64,0,3.6,RE,1670284171
285,kamina,-8.7386,24.9906,15.45,96,97,1.01,CD,1670284171
286,tomatlan,19.9333,-105.25,25.63,76,8,1.79,MX,1670284172
287,coari,-4.085,-63.1414,24.59,88,74,0.79,BR,1670284172
288,palkonda,18.6,83.75,17.53,75,40,1.75,IN,1670284173
289,boende,-0.2167,20.8667,20.35,99,75,1.21,CD,1670284173
290,portland,45.5234,-122.6762,8.18,77,20,2.06,US,1670283502
291,avera,33.194,-82.5271,11.32,98,100,4.4,US,1670284046
292,vista hermosa,19.5167,-99.2167,22.44,33,0,2.36,MX,1670284174
